Customer_ID,Document Number,Document Date,Net due date,Amount in doc. curr.,Document type,Local Currency,Posting Date,Payment date,Invoice reference,Document currency,Eff.exchange rate,Clearing Document,Name 1
1001121642,1122001549,09/11/2022,24/12/2022,"226,573.36",RV,NGN,09/11/2022,22/12/2022,1122001549,NGN,1,1322006964,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001624,18/11/2022,02/01/2023,"90,574.23",RV,NGN,18/11/2022,08/06/2023,1122001624,NGN,1,6023009782,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001786,11/12/2022,10/01/2023,"429,214.87",RV,NGN,11/12/2022,07/03/2023,1122001786,NGN,1,1323001535,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001809,14/12/2022,28/01/2023,"96,825.54",RV,NGN,14/12/2022,03/02/2023,1122001809,NGN,1,1323000778,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000244,14/02/2023,31/03/2023,"839,407.30",RV,NGN,14/02/2023,07/03/2023,1123000244,NGN,1,1323001535,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000296,22/02/2023,08/04/2023,"153,202.41",RV,NGN,22/02/2023,05/05/2023,1123000296,NGN,1,6023007135,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000297,22/02/2023,08/04/2023,"681,564.99",RV,NGN,22/02/2023,23/04/2023,1123000297,NGN,1,6023006064,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000354,08/03/2023,22/04/2023,"534,332.96",RV,NGN,08/03/2023,09/05/2023,1123000354,NGN,1,6023007211,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000458,29/03/2023,13/05/2023,"82,200.37",RV,NGN,29/03/2023,05/05/2023,1123000458,NGN,1,6023007135,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000546,14/04/2023,29/05/2023,"765,467.12",RV,NGN,14/04/2023,09/05/2023,1123000546,NGN,1,6023007210,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000629,09/05/2023,23/06/2023,"681,564.99",RV,NGN,09/05/2023,20/07/2023,1123000629,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000631,09/05/2023,23/06/2023,"190,738.62",RV,NGN,09/05/2023,20/07/2023,1123000631,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000632,09/05/2023,23/06/2023,"550,964.38",RV,NGN,09/05/2023,20/07/2023,1123000632,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000633,09/05/2023,23/06/2023,"57,550.13",RV,NGN,09/05/2023,20/07/2023,1123000633,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000634,09/05/2023,23/06/2023,"11,735.93",RV,NGN,09/05/2023,20/07/2023,1123000634,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000635,09/05/2023,23/06/2023,"185,380.44",RV,NGN,09/05/2023,31/07/2023,1123000635,NGN,1,6023012034,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000737,26/05/2023,10/07/2023,"107,397.51",RV,NGN,26/05/2023,20/07/2023,1123000737,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000738,26/05/2023,10/07/2023,"691,036.42",RV,NGN,26/05/2023,31/07/2023,1123000738,NGN,1,6023012034,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000739,26/05/2023,10/07/2023,"135,592.44",RV,NGN,26/05/2023,20/07/2023,1123000739,NGN,1,6023011656,AIR SOLUTION NIGERIA LIMITED
1001121642,1123000740,26/05/2023,10/07/2023,"297,759.61",RV,NGN,26/05/2023,31/07/2023,1123000740,NGN,1,6023012034,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001015,07/07/2023,21/08/2023,"559,069.88",RV,NGN,07/07/2023,29/08/2023,1123001015,NGN,1,6023013715,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001016,07/07/2023,21/08/2023,"310,095.21",RV,NGN,07/07/2023,29/08/2023,1123001016,NGN,1,6023013715,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001025,09/07/2023,23/08/2023,"124,497.61",RV,NGN,09/07/2023,29/08/2023,1123001025,NGN,1,6023013715,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001052,14/07/2023,28/08/2023,"338,663.38",RV,NGN,14/07/2023,29/08/2023,1123001052,NGN,1,6023013715,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001544,15/11/2023,30/12/2023,605.49,RV,NGN,15/11/2023,17/01/2024,1123001544,USD,797.94877,6024001363,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001607,30/11/2023,30/11/2023,"4,628.17",RV,NGN,30/11/2023,17/01/2024,1123001607,USD,797.9491,6024001363,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001608,30/11/2023,14/01/2024,"1,517.34",RV,NGN,30/11/2023,26/01/2024,1123001608,USD,797.94915,6024001458,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001628,01/12/2023,15/01/2024,639.25,RV,NGN,01/12/2023,26/01/2024,1123001628,USD,800.94683,6024001458,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001653,07/12/2023,21/01/2024,"1,396.56",RV,NGN,07/12/2023,26/01/2024,1123001653,USD,800.94736,6024001458,AIR SOLUTION NIGERIA LIMITED
1001121642,1123001670,15/12/2023,29/01/2024,"1,032.19",RV,NGN,15/12/2023,05/03/2024,1123001670,USD,800.94733,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000009,04/01/2024,18/02/2024,106.19,RV,NGN,04/01/2024,14/02/2024,1124000009,USD,903.26773,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000010,04/01/2024,18/02/2024,246.74,RV,NGN,04/01/2024,14/02/2024,1124000010,USD,903.27065,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000011,04/01/2024,04/01/2024,"6,536.00",RV,NGN,04/01/2024,17/01/2024,1124000011,USD,903.27004,6024001363,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000053,16/01/2024,15/02/2024,174.88,RV,NGN,16/01/2024,14/02/2024,1124000053,USD,903.27081,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000076,18/01/2024,18/01/2024,194.08,RV,NGN,18/01/2024,14/02/2024,1124000076,USD,903.27185,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000108,29/01/2024,14/03/2024,"2,359.30",RV,NGN,29/01/2024,14/02/2024,1124000108,USD,903.27004,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000119,31/01/2024,31/01/2024,134.4,RV,NGN,31/01/2024,14/02/2024,1124000119,USD,903.26637,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000120,31/01/2024,16/03/2024,524,RV,NGN,31/01/2024,14/02/2024,1124000120,USD,903.26908,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000121,31/01/2024,16/03/2024,264.88,RV,NGN,31/01/2024,14/02/2024,1124000121,USD,903.26941,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000123,31/01/2024,31/03/2024,"23,529.89",RV,NGN,31/01/2024,05/03/2024,1124000123,USD,903.27001,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000127,02/02/2024,18/03/2024,351.25,RV,NGN,02/02/2024,14/02/2024,1124000127,USD,897.58215,6024002266,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000149,13/02/2024,13/04/2024,"29,838.22",RV,NGN,13/02/2024,05/03/2024,1124000149,USD,897.58253,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000162,16/02/2024,01/04/2024,546.95,RV,NGN,16/02/2024,05/03/2024,1124000162,USD,897.58298,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000163,16/02/2024,01/04/2024,136.87,RV,NGN,16/02/2024,05/03/2024,1124000163,USD,897.58479,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000180,20/02/2024,05/04/2024,385.14,RV,NGN,20/02/2024,05/03/2024,1124000180,USD,897.58309,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000183,20/02/2024,05/04/2024,"7,719.16",RV,NGN,20/02/2024,05/03/2024,1124000183,USD,897.58257,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000186,20/02/2024,05/04/2024,"5,290.00",RV,NGN,20/02/2024,05/03/2024,1124000186,USD,897.58254,6024003697,AIR SOLUTION NIGERIA LIMITED
1001121642,1124000199,22/02/2024,07/04/2024,77.82,RV,NGN,22/02/2024,05/03/2024,1124000199,USD,897.57787,6024003697,AIR SOLUTION NIGERIA LIMITED
